element=21
l=0 n=21
  4.7894580000000000e+06  3.9999999999999998e-06
  7.1713800000000000e+05  3.4999999999999997e-05
  1.6319939999999999e+05  1.8200000000000001e-04
  4.6226070000000000e+04  7.6800000000000002e-04
  1.5081030000000001e+04  2.7889999999999998e-03
  5.4444930000000004e+03  9.0270000000000003e-03
  2.1234479999999999e+03  2.6349999999999998e-02
  8.8059100000000001e+02  6.8881999999999999e-02
  3.8377289999999999e+02  1.5563299999999999e-01
  1.7411980000000000e+02  2.8171000000000002e-01
  8.1551829999999995e+01  3.4817999999999999e-01
  3.8765870000000000e+01  2.1936100000000000e-01
  1.7229620000000001e+01  3.8914999999999998e-02
  8.4303480000000004e+00 -2.0839999999999999e-03
  4.1058190000000003e+00  1.7110000000000001e-03
  1.8066249999999999e+00 -7.9900000000000001e-04
  8.7042299999999995e-01  3.6000000000000002e-04
  3.9684100000000000e-01 -1.5200000000000001e-04
  9.5711000000000004e-02  6.0999999999999999e-05
  4.8246999999999998e-02 -4.8000000000000001e-05
  2.2661000000000001e-02  0.0000000000000000e+00
l=0 n=21
  4.7894580000000000e+06 -9.9999999999999995e-07
  7.1713800000000000e+05 -1.0000000000000001e-05
  1.6319939999999999e+05 -5.3000000000000001e-05
  4.6226070000000000e+04 -2.2499999999999999e-04
  1.5081030000000001e+04 -8.1999999999999998e-04
  5.4444930000000004e+03 -2.6660000000000000e-03
  2.1234479999999999e+03 -7.9010000000000000e-03
  8.8059100000000001e+02 -2.1259000000000000e-02
  3.8377289999999999e+02 -5.1441000000000001e-02
  1.7411980000000000e+02 -1.0641399999999999e-01
  8.1551829999999995e+01 -1.7352899999999999e-01
  3.8765870000000000e+01 -1.5327199999999999e-01
  1.7229620000000001e+01  1.3156399999999999e-01
  8.4303480000000004e+00  5.3694100000000000e-01
  4.1058190000000003e+00  4.3489400000000000e-01
  1.8066249999999999e+00  6.7486000000000004e-02
  8.7042299999999995e-01 -2.7360000000000002e-03
  3.9684100000000000e-01  2.0550000000000000e-03
  9.5711000000000004e-02 -5.0000000000000001e-04
  4.8246999999999998e-02  3.9199999999999999e-04
  2.2661000000000001e-02  0.0000000000000000e+00
l=0 n=21
  4.7894580000000000e+06  0.0000000000000000e+00
  7.1713800000000000e+05  3.9999999999999998e-06
  1.6319939999999999e+05  1.8000000000000000e-05
  4.6226070000000000e+04  7.8999999999999996e-05
  1.5081030000000001e+04  2.8200000000000002e-04
  5.4444930000000004e+03  9.2900000000000003e-04
  2.1234479999999999e+03  2.7469999999999999e-03
  8.8059100000000001e+02  7.4180000000000001e-03
  3.8377289999999999e+02  1.8117999999999999e-02
